学校,省市,总分
清华大学,北京,1004.1
北京大学,北京,910.5
浙江大学,浙江,822.9
上海交通大学,上海,778.6
复旦大学,上海,712.4
南京大学,江苏,676.2
中国科学技术大学,安徽,608.6
华中科技大学,湖北,606.2
武汉大学,湖北,599.1
西安交通大学,陕西,572.6
中山大学,广东,570.0
四川大学,四川,546.9
哈尔滨工业大学,黑龙江,544.2
北京航空航天大学,北京,543.5
东南大学,江苏,532.3
北京理工大学,北京,529.3
同济大学,上海,527.0
中国人民大学,北京,526.3
北京师范大学,北京,523.4
南开大学,天津,490.4
天津大学,天津,480.5
山东大学,山东,472.8
中南大学,湖南,466.1
厦门大学,福建,463.2
西北工业大学,陕西,462.0
华南理工大学,广东,444.2
吉林大学,吉林,439.1
电子科技大学,四川,437.0
湖南大学,湖南,435.5
中国农业大学,北京,432.8
华东师范大学,上海,428.2
大连理工大学,辽宁,417.4
南方科技大学,广东,413.0
重庆大学,重庆,397.7
北京科技大学,北京,382.8
南京理工大学,江苏,381.2
南京航空航天大学,江苏,376.6
东北大学,辽宁,369.4
西安电子科技大学,陕西,363.8
兰州大学,甘肃,362.2
苏州大学,江苏,362.2
华中农业大学,湖北,361.0
北京交通大学,北京,346.9
华东理工大学,上海,346.1
上海科技大学,上海,343.3
郑州大学,河南,336.5
华中师范大学,湖北,334.2
上海大学,上海,333.2
哈尔滨工程大学,黑龙江,332.6
暨南大学,广东,332.4
南京农业大学,江苏,330.7
中国石油大学（北京）,北京,330.1
东北师范大学,吉林,327.2
武汉理工大学,湖北,326.1
西南交通大学,四川,325.1
中国矿业大学,江苏,324.0
北京邮电大学,北京,323.4
南京师范大学,江苏,322.7
中国地质大学（武汉）,湖北,322.5
江南大学,江苏,321.6
河海大学,江苏,320.9
中国海洋大学,山东,319.8
北京工业大学,北京,314.2
北京化工大学,北京,309.6
西北大学,陕西,306.8
中国石油大学（华东）,山东,304.4
陕西师范大学,陕西,301.7
深圳大学,广东,301.4
南昌大学,江西,299.5
浙江工业大学,浙江,298.8
中国地质大学（北京）,北京,296.0
西南大学,重庆,294.5
福州大学,福建,290.6
西北农林科技大学,陕西,288.1
华北电力大学,北京,287.6
中国矿业大学（北京）,北京,284.2
东华大学,上海,284.0
江苏大学,江苏,283.4
华南师范大学,广东,281.5
云南大学,云南,281.3
扬州大学,江苏,279.0
北京林业大学,北京,278.8
合肥工业大学,安徽,270.4
宁波大学,浙江,270.1
南京工业大学,江苏,268.5
南京邮电大学,江苏,268.2
湖南师范大学,湖南,263.5
长安大学,陕西,258.5
首都师范大学,北京,256.7
南京信息工程大学,江苏,255.5
杭州电子科技大学,浙江,252.8
湘潭大学,湖南,252.4
华南农业大学,广东,252.3
燕山大学,河北,251.8
福建师范大学,福建,250.1
广西大学,广西,249.0
广州大学,广东,248.8
河南大学,河南,248.1
大连海事大学,辽宁,246.7
浙江师范大学,浙江,246.4
广东工业大学,广东,246.1
上海理工大学,上海,243.1
山西大学,山西,241.3
安徽大学,安徽,240.4
山东师范大学,山东,237.7
河北工业大学,河北,236.8
青岛大学,山东,236.6
太原理工大学,山西,236.6
贵州大学,贵州,235.6
南京林业大学,江苏,234.5
上海师范大学,上海,232.8
武汉科技大学,湖北,232.8
内蒙古大学,内蒙古,231.3
浙江理工大学,浙江,231.1
东北林业大学,黑龙江,228.7
福建农林大学,福建,227.5
西安理工大学,陕西,227.3
海南大学,海南,226.7
江西师范大学,江西,223.8
东北农业大学,黑龙江,221.1
长沙理工大学,湖南,221.0
西安建筑科技大学,陕西,220.9
湖北大学,湖北,220.7
昆明理工大学,云南,219.8
江苏师范大学,江苏,213.2
山东科技大学,山东,211.4
辽宁大学,辽宁,209.4
西南石油大学,四川,209.3
杭州师范大学,浙江,209.1
河北大学,河北,208.7
陕西科技大学,陕西,208.6
安徽师范大学,安徽,208.4
北京建筑大学,北京,207.9
华侨大学,福建,207.1
汕头大学,广东,204.6
新疆大学,新疆,204.3
江苏科技大学,江苏,202.4
石河子大学,新疆,201.7
中国计量大学,浙江,201.6
河南农业大学,河南,201.3
重庆邮电大学,重庆,200.9
湖北工业大学,湖北,199.9
沈阳农业大学,辽宁,199.9
四川农业大学,四川,199.9
武汉工程大学,湖北,199.6
山东农业大学,山东,198.4
长春理工大学,吉林,198.3
天津师范大学,天津,198.0
宁夏大学,宁夏,197.2
黑龙江大学,黑龙江,196.9
湖南农业大学,湖南,196.9
常州大学,江苏,195.6
浙江农林大学,浙江,195.2
河北师范大学,河北,195.0
河南师范大学,河南,194.5
成都理工大学,四川,194.3
天津工业大学,天津,193.5
温州大学,浙江,193.4
齐鲁工业大学,山东,193.2
广西师范大学,广西,191.5
南通大学,江苏,191.3
安徽农业大学,安徽,191.1
济南大学,山东,190.8
吉林农业大学,吉林,189.2
武汉纺织大学,湖北,188.9
南昌航空大学,江西,187.9
河南科技大学,河南,187.3
上海海洋大学,上海,187.3
江西理工大学,江西,186.0
曲阜师范大学,山东,185.8
西安科技大学,陕西,184.9
集美大学,福建,184.4
三峡大学,湖北,184.3
北方工业大学,北京,182.4
安徽工业大学,安徽,182.0
延边大学,吉林,181.4
西北师范大学,甘肃,181.1
华东交通大学,江西,179.8
河南理工大学,河南,178.8
上海海事大学,上海,177.6
辽宁师范大学,辽宁,177.5
青岛科技大学,山东,177.3
河北农业大学,河北,176.5
中北大学,山西,176.5
天津科技大学,天津,176.3
长江大学,湖北,175.3
江西农业大学,江西,175.3
湖南科技大学,湖南,175.2
云南师范大学,云南,175.1
东华理工大学,江西,173.6
南华大学,湖南,173.5
西安邮电大学,陕西,172.3
浙江海洋大学,浙江,172.3
重庆交通大学,重庆,171.8
沈阳工业大学,辽宁,171.8
四川师范大学,四川,171.7
内蒙古农业大学,内蒙古,171.5
天津理工大学,天津,171.2
兰州理工大学,甘肃,170.9
上海电力大学,上海,170.9
安徽理工大学,安徽,170.1
国际关系学院,北京,169.9
沈阳航空航天大学,辽宁,168.8
中南林业科技大学,湖南,168.6
青海大学,青海,168.1
西南科技大学,四川,167.7
北京信息科技大学,北京,167.6
山东理工大学,山东,167.3
河南工业大学,河南,166.4
北京电子科技学院,北京,165.7
苏州科技大学,江苏,165.2
东北石油大学,黑龙江,164.5
上海工程技术大学,上海,163.6
哈尔滨师范大学,黑龙江,163.5
青岛理工大学,山东,163.5
烟台大学,山东,163.5
佛山科学技术学院,广东,163.4
华北水利水电大学,河南,163.3
青岛农业大学,山东,162.8
山西农业大学,山西,162.8
石家庄铁道大学,河北,162.5
哈尔滨理工大学,黑龙江,162.4
甘肃农业大学,甘肃,161.6
嘉兴学院,浙江,160.9
海南师范大学,海南,160.7
湖州师范学院,浙江,160.2
武汉轻工大学,湖北,159.8
重庆理工大学,重庆,159.7
兰州交通大学,甘肃,159.4
鲁东大学,山东,159.4
桂林电子科技大学,广西,159.2
西华师范大学,四川,159.1
北京农学院,北京,158.5
西藏大学,西藏,158.5
大连工业大学,辽宁,158.0
重庆师范大学,重庆,157.3
安徽建筑大学,安徽,157.1
成都大学,四川,156.9
聊城大学,山东,156.2
成都信息工程大学,四川,155.5
河北科技大学,河北,154.8
山东建筑大学,山东,154.8
安徽工程大学,安徽,154.1
东莞理工学院,广东,153.7
西安石油大学,陕西,153.5
南京工程学院,江苏,153.2
沈阳建筑大学,辽宁,153.1
赣南师范大学,江西,152.2
西安工业大学,陕西,151.9
郑州轻工业大学,河南,151.9
山西师范大学,山西,151.8
北京印刷学院,北京,151.5
内蒙古师范大学,内蒙古,151.2
青海师范大学,青海,150.5
沈阳师范大学,辽宁,150.4
沈阳化工大学,辽宁,150.0
大连大学,辽宁,149.7
浙大宁波理工学院,浙江,149.2
上海应用技术大学,上海,148.6
合肥学院,安徽,147.4
厦门理工学院,福建,147.3
辽宁石油化工大学,辽宁,147.1
桂林理工大学,广西,147.0
湖南工业大学,湖南,146.2
东北电力大学,吉林,145.3
贵州师范大学,贵州,145.1
辽宁工业大学,辽宁,144.8
中国民航大学,天津,144.7
信阳师范学院,河南,143.7
吉林师范大学,吉林,143.4
江汉大学,湖北,142.7
中原工学院,河南,142.4
临沂大学,山东,142.3
绍兴文理学院,浙江,141.7
延安大学,陕西,141.6
北京联合大学,北京,140.6
盐城工学院,江苏,140.6
北京石油化工学院,北京,140.5
辽宁工程技术大学,辽宁,140.4
浙大城市学院,浙江,140.0
华北理工大学,河北,139.8
西安工程大学,陕西,139.5
长春工业大学,吉林,139.0
井冈山大学,江西,138.9
西华大学,四川,138.8
上海海关学院,上海,138.7
河北工程大学,河北,138.2
黑龙江八一农垦大学,黑龙江,138.2
渤海大学,辽宁,138.0
大连交通大学,辽宁,137.9
安庆师范大学,安徽,137.7
景德镇陶瓷大学,江西,137.5
淮阴工学院,江苏,137.3
吉首大学,湖南,137.1
湖南理工学院,湖南,136.7
浙江科技学院,浙江,136.3
太原科技大学,山西,136.0
重庆科技学院,重庆,135.8
沈阳理工大学,辽宁,135.7
南宁师范大学,广西,135.5
淮北师范大学,安徽,135.4
闽南师范大学,福建,135.4
宁波工程学院,浙江,135.2
内蒙古工业大学,内蒙古,134.8
新疆师范大学,新疆,134.6
新疆农业大学,新疆,134.0
金陵科技学院,江苏,133.9
南昌工程学院,江西,133.8
常熟理工学院,江苏,133.6
淮阴师范学院,江苏,133.4
长江师范学院,重庆,133.0
北华大学,吉林,132.9
广东海洋大学,广东,132.5
广东技术师范大学,广东,132.3
江西科技师范大学,江西,132.3
台州学院,浙江,132.0
大连海洋大学,辽宁,131.9
辽宁科技大学,辽宁,131.7
洛阳师范学院,河南,131.6
湖北师范大学,湖北,131.3
上海电机学院,上海,130.3
常州工学院,江苏,130.1
盐城师范学院,江苏,129.8
湖北第二师范学院,湖北,129.6
长春师范大学,吉林,129.3
江苏海洋大学,江苏,129.2
云南农业大学,云南,129.2
长沙学院,湖南,129.1
大理大学,云南,129.1
四川轻化工大学,四川,129.1
闽江学院,福建,129.0
江苏理工学院,江苏,128.4
吉林建筑大学,吉林,128.4
福建工程学院,福建,128.2
内蒙古科技大学,内蒙古,128.0
贵州师范学院,贵州,127.8
塔里木大学,新疆,127.7
黄冈师范学院,湖北,126.4
重庆文理学院,重庆,125.8
沈阳大学,辽宁,125.7
铜仁学院,贵州,125.6
河南科技学院,河南,125.3
五邑大学,广东,124.9
湖南第一师范学院,湖南,124.4
绵阳师范学院,四川,124.4
上海第二工业大学,上海,123.8
滨州学院,山东,123.7
湖北文理学院,湖北,123.7
安徽科技学院,安徽,123.6
浙江万里学院,浙江,123.5
西南林业大学,云南,123.1
天津农学院,天津,122.3
衢州学院,浙江,122.2
天津城建大学,天津,122.0
长春大学,吉林,121.9
合肥师范学院,安徽,121.6
泉州师范学院,福建,121.6
山东交通学院,山东,121.3
无锡学院,江苏,120.8
衡阳师范学院,湖南,120.7
天津职业技术师范大学,天津,120.7
湖北科技学院,湖北,120.3
攀枝花学院,四川,120.3
宜春学院,江西,120.3
仲恺农业工程学院,广东,120.0
阜阳师范大学,安徽,119.8
南京晓庄学院,江苏,119.8
江苏第二师范学院,江苏,119.5
岭南师范学院,广东,119.5
西藏农牧学院,西藏,119.4
惠州学院,广东,119.2
湖南文理学院,湖南,118.7
内江师范学院,四川,118.4
黑龙江工程学院,黑龙江,118.0
南阳理工学院,河南,118.0
丽水学院,浙江,117.7
齐齐哈尔大学,黑龙江,117.7
浙江水利水电学院,浙江,117.7
安阳师范学院,河南,117.3
黄淮学院,河南,117.3
南阳师范学院,河南,117.2
上饶师范学院,江西,117.0
德州学院,山东,116.9
玉林师范学院,广西,116.8
陕西理工大学,陕西,116.5
西安文理学院,陕西,116.5
徐州工程学院,江苏,116.5
周口师范学院,河南,116.2
泰山学院,山东,116.1
信阳农林学院,河南,115.7
三明学院,福建,115.2
枣庄学院,山东,114.9
重庆三峡学院,重庆,114.5
湖北汽车工业学院,湖北,114.4
成都师范学院,四川,114.3
广西科技大学,广西,114.3
广东石油化工学院,广东,114.2
滁州学院,安徽,113.7
广东第二师范学院,广东,113.6
潍坊学院,山东,113.5
防灾科技学院,河北,113.3
湖北工程学院,湖北,113.1
湖北理工学院,湖北,113.0
湖南科技学院,湖南,112.8
怀化学院,湖南,112.6
湖南城市学院,湖南,112.3
宿迁学院,江苏,112.3
湘南学院,湖南,112.1
贵州理工学院,贵州,111.9
南昌师范学院,江西,111.9
北华航天工业学院,河北,111.5
长春工程学院,吉林,111.3
乐山师范学院,四川,111.3
黑龙江科技大学,黑龙江,111.1
湖南工程学院,湖南,111.1
佳木斯大学,黑龙江,111.0
中国民用航空飞行学院,四川,110.8
龙岩学院,福建,110.7
商丘师范学院,河南,110.7
莆田学院,福建,110.6
西昌学院,四川,110.6
曲靖师范学院,云南,110.1
重庆第二师范学院,重庆,110.0
遵义师范学院,贵州,109.7
山西大同大学,山西,109.5
河南城建学院,河南,109.1
成都工业学院,四川,108.9
齐鲁师范学院,山东,108.9
通化师范学院,吉林,108.8
平顶山学院,河南,108.7
营口理工学院,辽宁,108.7
兰州石化职业技术大学,甘肃,108.6
九江学院,江西,108.4
海南热带海洋学院,海南,108.3
宜宾学院,四川,108.1
湖南人文科技学院,湖南,107.5
河西学院,甘肃,107.3
邵阳学院,湖南,107.3
天水师范学院,甘肃,107.3
韩山师范学院,广东,107.2
宁夏师范学院,宁夏,107.2
吉林工程技术师范学院,吉林,107.1
亳州学院,安徽,106.9
河南牧业经济学院,河南,106.9
山东青年政治学院,山东,106.8
太原师范学院,山西,106.7
福建技术师范学院,福建,106.1
榆林学院,陕西,105.9
宝鸡文理学院,陕西,105.8
河北科技师范学院,河北,105.8
皖西学院,安徽,105.8
贵阳学院,贵州,105.7
河南工程学院,河南,105.7
山东管理学院,山东,105.7
新乡学院,河南,105.6
北部湾大学,广西,105.5
西安航空学院,陕西,105.3
渭南师范学院,陕西,105.2
辽东学院,辽宁,104.8
牡丹江师范学院,黑龙江,104.8
安阳工学院,河南,104.7
唐山师范学院,河北,104.7
淮南师范学院,安徽,104.4
哈尔滨学院,黑龙江,104.1
贵阳康养职业大学,贵州,103.8
肇庆学院,广东,103.8
泰州学院,江苏,103.7
宿州学院,安徽,103.6
玉溪师范学院,云南,103.6
山东女子学院,山东,103.1
嘉应学院,广东,103.0
咸阳师范学院,陕西,103.0
石家庄学院,河北,102.9
四川旅游学院,四川,102.8
陇东学院,甘肃,102.7
许昌学院,河南,102.6
湖州学院,浙江,102.2
鞍山师范学院,辽宁,101.9
吉林化工学院,吉林,101.9
天津中德应用技术大学,天津,101.9
长治学院,山西,101.8
辽宁科技学院,辽宁,101.8
山东农业工程学院,山东,101.8
洛阳理工学院,河南,101.7
萍乡学院,江西,101.7
凯里学院,贵州,101.4
韶关学院,广东,101.4
温州理工学院,浙江,101.4
湖南工学院,湖南,101.1
苏州城市学院,江苏,100.9
宁德师范学院,福建,100.7
黔南民族师范学院,贵州,100.6
黄山学院,安徽,100.2
河北科技工程职业技术大学,河北,100.0
伊犁师范大学,新疆,99.9
济宁学院,山东,99.8
昆明学院,云南,99.5
蚌埠学院,安徽,99.4
赤峰学院,内蒙古,98.9
兰州城市学院,甘肃,98.9
巢湖学院,安徽,98.7
池州学院,安徽,98.3
商洛学院,陕西,98.3
太原工业学院,山西,98.2
红河学院,云南,98.1
景德镇学院,江西,97.9
广州航海学院,广东,97.6
喀什大学,新疆,97.5
四川文理学院,四川,97.5
吉林农业科技学院,吉林,97.4
郑州师范学院,河南,96.5
菏泽学院,山东,96.4
安顺学院,贵州,96.2
河北建筑工程学院,河北,96.1
武夷学院,福建,96.1
呼伦贝尔学院,内蒙古,95.9
南京特殊教育师范学院,江苏,95.7
新余学院,江西,95.6
白城师范学院,吉林,95.5
阿坝师范学院,四川,95.2
陕西学前师范学院,陕西,95.0
大庆师范学院,黑龙江,94.9
荆楚理工学院,湖北,94.7
郑州工程技术学院,河南,94.5
楚雄师范学院,云南,94.2
六盘水师范学院,贵州,94.1
梧州学院,广西,93.4
贺州学院,广西,93.1
桂林航天工业学院,广西,92.7
长沙师范学院,湖南,92.5
豫章师范学院,江西,92.4
安康学院,陕西,92.3
河南工学院,河南,91.7
唐山学院,河北,91.7
河北环境工程学院,河北,91.4
运城学院,山西,91.3
保定学院,河北,91.2
保山学院,云南,90.9
华北科技学院,河北,90.6
兰州文理学院,甘肃,90.4
赣南科技学院,江西,90.3
兰州工业学院,甘肃,90.2
兴义民族师范学院,贵州,90.2
忻州师范学院,山西,90.2
山东石油化工学院,山东,90.0
沧州师范学院,河北,89.5
琼台师范学院,海南,89.4
邢台学院,河北,89.4
四川民族学院,四川,88.4
邯郸学院,河北,88.0
贵州工程应用技术学院,贵州,87.9
黑河学院,黑龙江,87.8
百色学院,广西,87.5
衡水学院,河北,86.9
广西民族师范学院,广西,86.5
绥化学院,黑龙江,86.5
普洱学院,云南,86.3
汉江师范学院,湖北,85.7
河北民族师范学院,河北,85.4
晋中学院,山西,85.4
文山学院,云南,85.4
新疆工程学院,新疆,85.2
鄂尔多斯应用技术学院,内蒙古,85.0
赣东学院,江西,84.2
吕梁学院,山西,84.2
集宁师范学院,内蒙古,83.5
太原学院,山西,83.4
广西科技师范学院,广西,83.2
山西工程技术学院,山西,82.9
张家口学院,河北,82.9
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
