学校,省市,总分
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
山东协和学院,山东,102.8
珠海科技学院,广东,98.8
浙江树人学院,浙江,98.4
武汉东湖学院,湖北,91.7
黄河科技学院,河南,89.9
齐鲁理工学院,山东,87.1
西京学院,陕西,85.5
大连东软信息学院,辽宁,85.2
无锡太湖学院,江苏,84.4
武昌理工学院,湖北,83.9
广州南方学院,广东,83.2
烟台南山学院,山东,82.6
潍坊科技学院,山东,82.0
三亚学院,海南,81.7
三江学院,江苏,81.5
长沙医学院,湖南,80.6
北京城市学院,北京,77.5
齐鲁医药学院,山东,77.1
重庆人文科技学院,重庆,76.6
郑州科技学院,河南,76.2
茅台学院,贵州,75.9
上海建桥学院,上海,75.1
广州新华学院,广东,74.3
信阳学院,河南,74.2
文华学院,湖北,73.3
成都锦城学院,四川,71.0
广东白云学院,广东,70.5
广州城市理工学院,广东,70.5
南宁学院,广西,70.1
皖江工学院,安徽,69.2
南昌理工学院,江西,68.5
武昌首义学院,湖北,68.0
沈阳工学院,辽宁,67.9
成都东软学院,四川,67.6
江西科技学院,江西,67.4
青岛滨海学院,山东,67.4
中原科技学院,河南,67.0
青岛黄海学院,山东,66.9
安徽新华学院,安徽,66.8
商丘学院,河南,66.2
广州软件学院,广东,65.7
成都文理学院,四川,64.7
黑龙江东方学院,黑龙江,64.7
山东英才学院,山东,64.3
宁夏理工学院,宁夏,64.2
东莞城市学院,广东,63.8
吉林建筑科技学院,吉林,63.6
西安培华学院,陕西,63.6
烟台理工学院,山东,63.6
马鞍山学院,安徽,63.5
西安明德理工学院,陕西,63.5
郑州西亚斯学院,河南,63.1
阳光学院,福建,63.0
西安外事学院,陕西,62.7
烟台科技学院,山东,62.6
长春人文学院,吉林,62.4
晋中信息学院,山西,62.3
武汉晴川学院,湖北,62.1
安徽信息工程学院,安徽,61.5
汉口学院,湖北,61.5
武汉城市学院,湖北,61.4
武汉华夏理工学院,湖北,61.3
泰山科技学院,山东,60.9
郑州工商学院,河南,60.7
淮北理工学院,安徽,60.6
南通理工学院,江苏,60.6
潍坊理工学院,山东,60.4
重庆城市科技学院,重庆,59.8
广州华立学院,广东,59.8
江西工程学院,江西,59.8
长春科技学院,吉林,58.9
山东现代学院,山东,58.7
安阳学院,河南,58.6
仰恩大学,福建,58.6
广东科技学院,广东,58.4
合肥城市学院,安徽,58.2
湖南信息学院,湖南,58.2
西安交通工程学院,陕西,58.0
长春建筑学院,吉林,57.8
西安思源学院,陕西,57.7
山西晋中理工学院,山西,57.5
江西应用科技学院,江西,57.0
丽江文化旅游学院,云南,56.9
长春电子科技学院,吉林,56.8
安徽文达信息工程学院,安徽,56.6
桂林学院,广西,56.5
长春光华学院,吉林,56.3
山东华宇工学院,山东,56.1
南昌工学院,江西,55.7
泉州信息工程学院,福建,55.6
广州应用科技学院,广东,55.4
云南工商学院,云南,55.4
辽宁何氏医学院,辽宁,55.3
郑州工业应用技术学院,河南,55.1
重庆移通学院,重庆,55.0
燕京理工学院,河北,54.8
荆州学院,湖北,54.7
福州工商学院,福建,54.6
广州理工学院,广东,54.5
新乡工程学院,河南,54.5
安徽三联学院,安徽,54.5
保定理工学院,河北,54.5
沧州交通学院,河北,54.5
重庆工程学院,重庆,54.5
大连科技学院,辽宁,54.5
福州理工学院,福建,54.5
广东东软学院,广东,54.5
广东理工学院,广东,54.5
桂林信息科技学院,广西,54.5
贵阳人文科技学院,贵州,54.5
贵阳信息科技学院,贵州,54.5
贵州黔南科技学院,贵州,54.5
哈尔滨广厦学院,黑龙江,54.5
哈尔滨华德学院,黑龙江,54.5
哈尔滨剑桥学院,黑龙江,54.5
哈尔滨石油学院,黑龙江,54.5
哈尔滨信息工程学院,黑龙江,54.5
哈尔滨远东理工学院,黑龙江,54.5
河北东方学院,河北,54.5
河北工程技术学院,河北,54.5
河北科技学院,河北,54.5
黑龙江工商学院,黑龙江,54.5
黄河交通学院,河南,54.5
湖北恩施学院,湖北,54.5
湖南交通工程学院,湖南,54.5
湖南应用技术学院,湖南,54.5
吉利学院,四川,54.5
景德镇艺术职业大学,江西,54.5
昆明城市学院,云南,54.5
昆明文理学院,云南,54.5
兰州博文科技学院,甘肃,54.5
兰州信息科技学院,甘肃,54.5
辽宁理工学院,辽宁,54.5
柳州工学院,广西,54.5
绵阳城市学院,四川,54.5
闽南科技学院,福建,54.5
闽南理工学院,福建,54.5
南昌交通学院,江西,54.5
南昌应用技术师范学院,江西,54.5
南宁理工学院,广西,54.5
内蒙古鸿德文理学院,内蒙古,54.5
青岛城市学院,山东,54.5
青岛工学院,山东,54.5
青岛恒星科技学院,山东,54.5
齐齐哈尔工程学院,黑龙江,54.5
商丘工学院,河南,54.5
陕西服装工程学院,陕西,54.5
山西应用科技学院,山西,54.5
沈阳城市建设学院,辽宁,54.5
沈阳城市学院,辽宁,54.5
沈阳科技学院,辽宁,54.5
四川工商学院,四川,54.5
四川工业科技学院,四川,54.5
天津传媒学院,天津,54.5
天津仁爱学院,天津,54.5
天津天狮学院,天津,54.5
武昌工学院,湖北,54.5
武汉工程科技学院,湖北,54.5
武汉设计工程学院,湖北,54.5
武汉生物工程学院,湖北,54.5
厦门工学院,福建,54.5
厦门华厦学院,福建,54.5
西安工商学院,陕西,54.5
银川科技学院,宁夏,54.5
银川能源学院,宁夏,54.5
湛江科技学院,广东,54.5
上海财经大学,上海,302.3
中央财经大学,北京,271.1
对外经济贸易大学,北京,263.3
西南财经大学,四川,246.4
中南财经政法大学,湖北,245.9
东北财经大学,辽宁,215.3
江西财经大学,江西,202
首都经济贸易大学,北京,195.4
浙江工商大学,浙江,186.7
北京工商大学,北京,177.6
南京财经大学,江苏,172.1
浙江财经大学,浙江,168.8
上海对外经贸大学,上海,168.1
南京审计大学,江苏,163.3
山东财经大学,山东,157
天津财经大学,天津,157
安徽财经大学,安徽,154.2
广东财经大学,广东,139.3
河南财经政法大学,河南,137.9
山西财经大学,山西,137.1
北京物资学院,北京,134.8
重庆工商大学,重庆,134.4
湖南工商大学,湖南,133
上海立信会计金融学院,上海,127.5
湖北经济学院,湖北,126.6
吉林财经大学,吉林,126.6
河北经贸大学,河北,125.4
天津商业大学,天津,124
西安财经大学,陕西,120
哈尔滨商业大学,黑龙江,118.5
贵州财经大学,贵州,117.3
河北地质大学,河北,116.9
云南财经大学,云南,116.8
郑州航空工业管理学院,河南,116.7
内蒙古财经大学,内蒙古,116.2
山东工商学院,山东,111.2
上海商学院,上海,109.5
广东金融学院,广东,108.2
新疆财经大学,新疆,104.6
湖南财政经济学院,湖南,101.5
广西财经学院,广西,100.3
兰州财经大学,甘肃,100.2
福建江夏学院,福建,97.3
武汉商学院,湖北,95.4
福建商学院,福建,95
桂林旅游学院,广西,95
贵州商学院,贵州,95
哈尔滨金融学院,黑龙江,95
河北金融学院,河北,95
河南财政金融学院,河南,95
嘉兴南湖学院,浙江,95
吉林工商学院,吉林,95
兰州资源环境职业技术大学,甘肃,95
铜陵学院,安徽,95
新疆科技学院,新疆,95
北京协和医学院,北京,425.9
首都医科大学,北京,291.3
南京医科大学,江苏,286.6
南方医科大学,广东,286.5
哈尔滨医科大学,黑龙江,266.0
天津医科大学,天津,263.9
中国医科大学,辽宁,259.5
北京中医药大学,北京,239.0
温州医科大学,浙江,231.0
中国药科大学,江苏,229.7
上海中医药大学,上海,228.7
重庆医科大学,重庆,223.3
广州医科大学,广东,222.5
河北医科大学,河北,206.6
南京中医药大学,江苏,203.9
大连医科大学,辽宁,202.8
安徽医科大学,安徽,192.6
福建医科大学,福建,191.3
广州中医药大学,广东,184.8
广西医科大学,广西,177.8
浙江中医药大学,浙江,175.0
天津中医药大学,天津,173.4
山西医科大学,山西,166.6
宁夏医科大学,宁夏,163.9
成都中医药大学,四川,163.6
湖南中医药大学,湖南,151.1
新疆医科大学,新疆,150.3
西南医科大学,四川,150.2
徐州医科大学,江苏,149.8
山东中医药大学,山东,147.4
河南中医药大学,河南,146.3
沈阳药科大学,辽宁,143.1
山东第一医科大学,山东,142.8
新乡医学院,河南,141.9
江西中医药大学,江西,139.7
黑龙江中医药大学,黑龙江,139.2
辽宁中医药大学,辽宁,135.6
昆明医科大学,云南,134.5
遵义医科大学,贵州,134.2
内蒙古医科大学,内蒙古,133.3
湖北中医药大学,湖北,131.9
湖北医药学院,湖北,131.4
长春中医药大学,吉林,131.0
潍坊医学院,山东,129.6
锦州医科大学,辽宁,129.4
安徽中医药大学,安徽,127.8
广东医科大学,广东,127.8
蚌埠医学院,安徽,126.9
广西中医药大学,广西,126.8
沈阳医学院,辽宁,125.6
贵州医科大学,贵州,125.5
桂林医学院,广西,123.9
海南医学院,海南,123.6
陕西中医药大学,陕西,122.9
皖南医学院,安徽,122.0
福建中医药大学,福建,121.2
川北医学院,四川,119.8
广东药科大学,广东,119.8
滨州医学院,山东,117.6
赣南医学院,江西,113.7
济宁医学院,山东,113.0
成都医学院,四川,112.1
杭州医学院,浙江,108.8
河北中医学院,河北,105.8
上海健康医学院,上海,103.7
山西中医药大学,山西,101.4
云南中医药大学,云南,101.0
承德医学院,河北,99.1
齐齐哈尔医学院,黑龙江,97.1
厦门医学院,福建,95.7
牡丹江医学院,黑龙江,93.6
右江民族医学院,广西,91.7
贵州中医药大学,贵州,91.6
甘肃中医药大学,甘肃,91.0
西安医学院,陕西,90.2
吉林医药学院,吉林,86.7
长治医学院,山西,85.6
甘肃医学院,甘肃,85.6
河北北方学院,河北,85.6
湖南医药学院,湖南,85.6
南昌医学院,江西,85.6
内蒙古科技大学包头医学院,内蒙古,85.6
新疆第二医学院,新疆,85.6
西藏藏医药大学,西藏,85.6
浙江药科职业大学,浙江,85.6
北京外国语大学,北京,218.5
中国传媒大学,北京,218.4
上海外国语大学,上海,208.8
外交学院,北京,201.2
北京语言大学,北京,179.4
广东外语外贸大学,广东,171.8
北京第二外国语学院,北京,154.3
大连外国语大学,辽宁,131.4
西安外国语大学,陕西,129.6
天津外国语大学,天津,127.4
四川外国语大学,重庆,124.4
浙江传媒学院,浙江,123.4
浙江外国语学院,浙江,115.9
中华女子学院,北京,112
呼和浩特民族学院,内蒙古,100
湖南女子学院,湖南,100
中国政法大学,北京,247.6
华东政法大学,上海,181.4
西南政法大学,重庆,175.1
中国人民公安大学,北京,154.6
西北政法大学,陕西,147.4
上海政法学院,上海,137.8
中国刑事警察学院,辽宁,119.2
中国劳动关系学院,北京,116.6
中国人民警察大学,河北,116
浙江警察学院,浙江,108.9
四川警察学院,四川,106
广东警官学院,广东,105.8
江苏警官学院,江苏,103.4
河南警察学院,河南,103
重庆警察学院,重庆,101.9
甘肃政法大学,甘肃,98.6
辽宁警察学院,辽宁,97.6
福建警察学院,福建,95.6
湖北警官学院,湖北,94.6
南京森林警察学院,江苏,93.1
北京警察学院,北京,90
广西警察学院,广西,90
贵州警察学院,贵州,90
湖南警察学院,湖南,90
江西警察学院,江西,90
吉林警察学院,吉林,90
山东警察学院,山东,90
山东政法学院,山东,90
上海公安学院,上海,90
山西警察学院,山西,90
铁道警察学院,河南,90
新疆警察学院,新疆,90
云南警官学院,云南,90
中央司法警官学院,河北,90
中央民族大学,北京,183.6
中南民族大学,湖北,142.5
西南民族大学,四川,124.0
广西民族大学,广西,112.5
西北民族大学,甘肃,109.5
贵州民族大学,贵州,109.4
大连民族大学,辽宁,108.0
西藏民族大学,西藏,105.5
云南民族大学,云南,105.1
北方民族大学,宁夏,104.8
青海民族大学,青海,102.1
内蒙古民族大学,内蒙古,101.3
湖北民族大学,湖北,98.1
上海体育学院,上海,160.9
北京体育大学,北京,137.2
首都体育学院,北京,108.2
武汉体育学院,湖北,103.7
沈阳体育学院,辽宁,100.9
天津体育学院,天津,100.8
成都体育学院,四川,98.9
南京体育学院,江苏,98.9
广州体育学院,广东,93.3
山东体育学院,山东,89.4
哈尔滨体育学院,黑龙江,89
河北体育学院,河北,89
吉林体育学院,吉林,89
西安体育学院,陕西,89
香港中文大学（深圳）,广东,133.5
上海纽约大学,上海,119.7
宁波诺丁汉大学,浙江,115.3
西交利物浦大学,江苏,104.9
深圳北理莫斯科大学,广东,104.7
北京师范大学-香港浸会大学联合国际学院,广东,101
温州肯恩大学,浙江,80.9
中国科学院大学,北京,400
中国石油大学(华东),山东,304.4
中国矿业大学(北京),北京,284.2
利物浦大学,江苏,104.9
河南开封科技传媒学院,河南,89.2
宁波财经学院,浙江,79.7
上海杉达学院,上海,79
福州外语外贸学院,福建,77.5
湖南涉外经济学院,湖南,71.8
长春财经学院,吉林,71.6
郑州经贸学院,河南,70.4
武汉工商学院,湖北,69.9
郑州升达经贸管理学院,河南,69.1
广州华商学院,广东,69
辽宁对外经贸学院,辽宁,65.9
重庆财经学院,重庆,65.2
郑州财经学院,河南,64
武汉学院,湖北,63.3
郑州商学院,河南,62.6
海口经济学院,海南,62.3
云南经济管理学院,云南,61.5
辽宁财贸学院,辽宁,60.9
合肥经济学院,安徽,60.6
广州商学院,广东,59.2
蚌埠工商学院,安徽,55
成都银杏酒店管理学院,四川,55
重庆对外经贸学院,重庆,55
大连财经学院,辽宁,55
广东培正学院,广东,55
广州工商学院,广东,55
贵州黔南经济学院,贵州,55
黑龙江财经学院,黑龙江,55
湖北商贸学院,湖北,55
兰州工商学院,甘肃,55
山西工商学院,山西,55
陕西国际商贸学院,陕西,55
温州商学院,浙江,55
武汉文理学院,湖北,55
湘潭理工学院,湖南,55
西安欧亚学院,陕西,55
吉林外国语大学,吉林,123.1
浙江越秀外国语学院,浙江,86.0
西安翻译学院,陕西,74.2
重庆外语外事学院,重庆,64.1
河北外国语学院,河北,58.5
安徽外国语学院,安徽,58
广西外国语学院,广西,58
黑龙江外国语学院,黑龙江,58
辽宁传媒学院,辽宁,58
华北电力大学(北京),北京,287.6
中国石油大学(北京),北京,330.1
中国地质大学(武汉),湖北,322.5
中国地质大学(北京),北京,296
青岛科技大学高密校区,山东,177.3
南安普顿大学,英国,572
汉阳大学,韩国,676
爱丁堡大学,英国,713
东北大学秦皇岛分校,河北,369.4
俄罗斯人民友谊大学,俄罗斯,480.5
萨塞克斯大学,英国,600
昆士兰大学,澳大利亚,700
格拉斯哥大学,苏格兰,546
山东科技大学泰安校区,山东,211.4
青岛科技大学崂山校区,山东,177.3
俄罗斯新西伯利亚国立建筑大学,俄罗斯,540
邓迪大学,英国,480.5
云南师范大学商学院,云南,175.1
中国科学院化学研究所,北京,400
华北电力大学(保定),北京,287.6
伦敦大学学院,英国,1004.1
中国科学院上海药物研究所,北京,400
白俄罗斯国立文化艺术大学,白俄罗斯,66
山东大学青岛校,山东,472.8
韩国清州大学,韩国,250
美国佩珀代因大学,美国,330
青岛科技大学中德校区,山东,177.3
延世大学,韩国,608.6
青岛理工大学临沂校区,山东,100
香港中文大学,香港,822.9
莫纳什大学,澳大利亚,480
山东服装职业学院,山东,50
华威大学,英国,900
青岛大学医学部,山东,236.6
天普大学（Temple University）,美国,400
威海海洋职业学院,山东,50
山东科技大学泰山科技学院,山东,50
莫斯科国立大学,俄罗斯,778
内蒙古机电职业技术学院,内蒙古,50
山东财经大学东方学院,山东,70
山东科技职业学院,山东,50
莫那什大学,澳大利亚,778
中国科学院海洋研究所,北京,400
仁荷大学（韩国）,韩国,246.7
澳洲国立大学,澳大利亚,910
韩国庆北大学,韩国,439.1
约克大学（英国）,英国,676
青岛理工大学琴岛学院,山东,70
华北科技学院（应急管理大学）,河北,70
悉尼科技大学,澳大利亚,400
山东财经大学燕山学院,山东,70
山西传媒学院,山西,70
青岛酒店管理职业技术学院,山东,50
兰州交通大学博文学院,甘肃,50
中国石油大学胜利学院,山东,79
华北电力大学科技学院,河北,60
卡迪夫大学,英国,676.2
青岛港湾职业技术学院,山东,50
商务部国际贸易经济合作研究院,北京,300
山东城市建设职业学院,山东,50
东营科技职业学院,山东,50
青岛四方机车车辆技师学院,山东,50
烟台汽车工程职业学院,山东,50
天津滨海汽车工程职业学院,天津,50
山东外贸职业学院,山东,50
山东药品食品职业学院,山东,50
青岛职业技术学院,山东,50
烟台职业学院,山东,50
山东铝业职业学院,山东,50
山东医学高等专科学校,山东,50
菏泽医学专科学校,山东,50
青岛求实职业技术学院,山东,50
内蒙古化工职业学院,内蒙古,50
包头轻工职业技术学院,内蒙古,50
呼和浩特职业学院,内蒙古,50
包头钢铁职业技术学院,内蒙古,50
鄂尔多斯职业学院,内蒙古,50
包头职业技术学院,内蒙古,50
中科院,北京,400
重庆三峡医药高等专科学校,重庆,50
内蒙古化工职业技术学院,内蒙古,50
内蒙古农业大学职业技术学院,内蒙古,55
中国石油大学华东,山东,304.4
MC Master University,加拿大,676.2
英国赫尔大学,英国,466.1
淄博职业学院,山东,50
台州科技职业学院,浙江,50
广东轻工职业技术学院,广东,50
南京工业职业技术大学,南京,65
青岛市海龙职校,山东,50
青岛市西海岸新区高职校西区,山东,50
山东商务职业学院,山东,50
山东司法警官职业学院,山东,50
威海职业学院,山东,50
烟台黄金职业学院,山东,50
泰山护理职业学院,山东,50
日照职业技术学院,山东,50
山东水利职业学院,山东,50
山东工业职业学院,山东,50
烟台工程职业技术学院,山东,50
山东电子职业技术学院,山东,50
国家开放大学,北京,50
天津渤海职业技术学院,天津,50
天津工程职业技术学院,天津,50
滨州职业学院,山东,50
无锡科技职业学院,江苏,50
郑州工业技师学院,河南,50
山东高等专科学校,山东,50
潍坊工程职业学院,山东,50
新西兰林肯大学,新西兰,333.2
山东交通职业学院,山东,50
加拿大西三一大学,加拿大,80
原胶南职业二中,山东,45
石家庄经济职业学院,河北,50
鹤壁职业技术学院,河南,50
佳木斯职业学院,黑龙江,50
海南外国语职业学院,海南,50
江西鹰潭职业技术学院,江西,50
湖南机电职业技术学院,湖南,50
戴庙初中,四川,40
黑龙江交通职业技术学院,黑龙江,50
鲁南技师学院,山东,40
青岛电影学院,山东,70
山东艺术学院,山东,70
山东海事职业学院,山东,50
山东省经济管理干部学院,山东,45
本科西南交通大学  研究生厦门大学,厦门,463.2
杜伊斯堡-埃森大学,德国,778.6
东国大学,韩国,400
俄罗斯国立师范大学,俄罗斯,208.8
山东外事职业大学,山东,70
成均馆大学,韩国,1000
河北农业大学现代科技学院,河北,70
南开大学滨海学院,天津,55
山东工程职业技术大学,山东,70
山东商业职业技术学院,山东,50
青岛农业大学海都学院,山东,70
山东外国语职业技术大学,山东,70
聊城大学东昌学院,山东,70
哈尔滨工业大学(威海),哈尔滨,544.2
香港理工大学,香港,700
莱斯特大学,英国,450
阿德雷德大学,澳大利亚,400
白俄罗斯国立大学,白俄罗斯,572.6
南佛罗里达大学,美国,435.5
巴塞罗那自治大学,西班牙,527
奥克兰大学,新西兰,400
阿德莱德大学,澳大利亚,400
新南威尔士大学,澳大利亚,712
长沙理工大学城南学院,湖南,55
新加坡国立大学,新加坡,1000
瓦格宁根大学,荷兰,300
布里斯托大学,英国,330
克拉克大学,美国,301.4
香港中文大学(深圳),香港,822.9
内蒙古赤峰学院,内蒙古,70
内蒙古大学创业学院,内蒙古,70
中国水利水电科学研究院,北京,200
英国桑德兰大学,英国,246.4
大阪产业大学,日本,75
萨哈林国立大学,美国,900
江西财经大学现代经济管理学院,江西,75
英国 西英格兰大学,英国,346.9
河北美术学院,河北,75
斯克莱德大学,英国,300
墨尔本大学,澳大利亚,712.4
燕山大学里仁学院,河北,70
英国埃克塞特大学,英国,400
吉林动画学院,吉林,75
德州科技职业学院,山东,50
山东经贸职业学院,山东,50
安徽商贸职业技术学院,安徽,50
山东传媒职业学院,山东,50
哈尔滨应用职业技术学院,黑龙江,50
乌兰察布职业学院,内蒙古,50
山东传媒职业学院,山东,50
中国海洋大学继续教育学院,山东,50
青岛远洋船员职业学院,山东,50
胶南高职校,山东,50
青岛远洋船员职业学院,山东,50
青岛新港报关学院,山东,45
东北大学（美国）,美国,480.5
云南艺术学院文华学院,云南,70
安徽农业大学经济技术学院,安徽,55
河北科技大学理工学院,河北,70
山东青岛理工大学,山东,100
南昌职业大学,江西,75
贵州大学明德学院,云南,70
全南国立大学,韩国,362.2
莱阳农学院,山东,75
桂林理工大学博文管理学院,广西,70
明治大学,日本,400
陕西科技大学镐京学院,陕西,70
香港科技大学,香港,712.4
中国科学院华南植物园,北京,400
复旦大学医学院,上海,712.4
兰州理工大学技术工程学院,甘肃,55
淮海工学院,江苏,75
郑州大学西亚斯国际学院,河南,55
济南大学泉城学院,山东,50
中国林业科学研究院,北京,200
四川传媒学院,四川,75
西安政治学院,陕西,70
中国农业科学院研究生院,北京,200
太原理工大学现代科技学院,山西,70
天津医药大学,天津,50
昆明贵金属研究所,云南,77
兰卡斯特大学,英国,676.2
杭州电子科技大学信息工程学院,浙江,75
石家庄铁道大学四方学院,河北,75
贵州中医药大学时珍学院,贵州,70
法国北方高等商学院,法国,350
丹麦技术大学,丹麦,330
大连理工大学(盘锦校区),辽宁,417.4
中国医药工业研究总院,上海,220
南京工业大学浦江学院,南京,75
香港城市大学,香港,778.6
悉尼大学,澳大利亚,800
内蒙古师范大学鸿德学院,内蒙古,70
内蒙古交通职业技术学院,内蒙古,50
韩国 建国大学 ,韩国,463.2
山东信息职业技术学院,山东,50
山东工艺美术学院,山东,73
圣路易斯华盛顿大学,美国,676.2
河南大学民生学院,河南,75
北海艺术设计学院,广西,72
烟台大学文经学院,山东,73
中国社会科学院大学,北京,112
伦敦大学金史密斯学院,英国,1000
俄罗斯别尔哥罗德国立大学,俄罗斯,300
中国青年政治学院,北京,120
西安音乐学院,西安,200
贝尔法斯特女王大学,英国,527
泰国格乐大学,泰国,320
兰州财经大学陇桥学院,甘肃,75
中央美术学院,北京,300
上海交通大学继续教育学院,上海,47
四川电影电视学院,四川,60
金泉大学,韩国,100
四川电影电视学院,四川,60
四川音乐学院,四川,55
檀国大学,韩国,320
胡安卡洛斯国王大学,西班牙,350
布伦瑞克工业大学,德国,435.5
西江大学,韩国,439.1
西班牙内布里哈大学,西班牙,270
曼彻斯特大学,英国,760
加州大学尔湾分校,美国,544.2
高丽大学,韩国,778.6
中国传媒大学南广学院,江苏,75
珠海城市职业技术学院,广州,55
黑龙江省工业学院,黑龙江,70
吉林大学莱姆顿学院,吉林,57
江西服装学院,江西,53
纽卡斯尔大学（英国）,英国,676.2
南首尔大学,韩国,80
赫瑞瓦特大学爱丁堡商学院,英国,150
青大科技大学,山东,177.3
东北师范大学人文学院,吉林,78
利兹大学,英国,676.2
首尔国立大学,韩国,712.4
呼和浩特计算机专修学院,内蒙古,47
内蒙内蒙古科技大学,内蒙古,68
内蒙古建筑职业技术学院,内蒙古,47
山东青岛卫生学校,山东,50
日本大学,日本,700
伦敦艺术大学,英国,550
中原工学院信息商务学院,河南,71
青海大学昆仑学院,青海,68
湖北师范大学文理学院,湖北,71
广西师范大学漓江学院,广西,70
北京服装学院,北京,75
日本多摩大学,日本,300
北京理工大学珠海学院,北京,76
石油化工科学研究院,北京,300
河北传媒学院,河北,74
南京传媒学院,南京,77
哈尔滨城市职业学院,黑龙江,49
南京科技职业学院,南京,51
上海国际问题研究院,上海,180
中国疾病预防控制中心,北京,177
